商品ID,价格,商品名称,商品详情链接地址,商品图片链接,评论数,店铺,店铺链接
10109697332525,1738.0,华凌空调 酷省电 一级能效全直流变频冷暖空调 智能空调挂机 智能空调 【正1.5匹单冷】 适用10-17m 上门安装,https://item.jd.com/10109697332525.html,https://img10.360buyimg.com/n7/jfs/t1/235927/24/23173/124471/6694e31bFd2eba18f/dac8f5f45ca5a572.jpg.avif,0,坤坤空调经营部,https://mall.jd.com/index-14468853.html?from=pc
10109697320748,2188.0,华凌空调挂机 大1匹 1.5匹空调 定频变频空调 新一级能效急速冷暖空调 【变频大1.5匹冷暖】适用16-24m 不带安装,https://item.jd.com/10109697320748.html,https://img13.360buyimg.com/n7/jfs/t1/48788/31/24445/145497/6694e31bF3ecb2461/ac6fe3b9efbb2473.jpg.avif,0,坤坤空调经营部,https://mall.jd.com/index-14468853.html?from=pc
10031680469559,1799.0,华凌空调挂机 大1匹1.5匹 变频一级能效/三级 冷暖变频 除菌自清洁家用卧室客厅挂式空调 1.5匹 一级能效 35HA1Ⅱ【现货】,https://item.jd.com/10031680469559.html,https://img14.360buyimg.com/n7/jfs/t1/6041/35/31390/97107/66964a68F1005aa63/c28df17a63f15622.jpg.avif,2000+,华凌一只花猫专卖店,https://mall.jd.com/index-10301249.html?from=pc
10109697334426,1948.0,华凌空调 酷省电 一级能效全直流变频冷暖空调 智能空调挂机 智能空调 【大1.5匹冷暖】 适用16-24m 上门安装,https://item.jd.com/10109697334426.html,https://img11.360buyimg.com/n7/jfs/t1/244509/3/15289/124471/6694e31bF3b05e436/76985d475e24c2a7.jpg.avif,0,坤坤空调经营部,https://mall.jd.com/index-14468853.html?from=pc
10109697320741,1738.0,华凌空调挂机 大1匹 1.5匹空调 定频变频空调 新一级能效急速冷暖空调 【正1.5匹单冷】 适用10-17m 上门安装,https://item.jd.com/10109697320741.html,https://img11.360buyimg.com/n7/jfs/t1/48788/31/24445/145497/6694e31bF3ecb2461/ac6fe3b9efbb2473.jpg.avif,0,坤坤空调经营部,https://mall.jd.com/index-14468853.html?from=pc
10088070687543,4599.0,华凌空调立式3匹 新一级能效 变频冷暖 客厅圆柱立式空调柜机 高温蒸汽自洁3p手机智控KFR-72LW/N8HB1A 3匹 一级能效 72HB1A,https://item.jd.com/10088070687543.html,https://img13.360buyimg.com/n7/jfs/t1/47486/22/24252/225768/6694c853F5fb40260/6f282bd0eff8f5b5.jpg.avif,2,华凌茵珀特专卖店,https://mall.jd.com/index-10442110.html?from=pc
10084220259368,3199.0,华凌空调 2匹新一级变频冷暖 大风量智能互联 升级电量查询 卧室客厅空调挂机 KFR-50GW/N8HL1 2匹 一级能效,https://item.jd.com/10084220259368.html,https://img13.360buyimg.com/n7/jfs/t1/101629/4/44384/117789/664aa6cfFfe911293/a61aaa10622345ac.jpg.avif,500+,华凌润德隆专卖店,https://mall.jd.com/index-13001885.html?from=pc
10109697283273,2188.0,华凌空调挂机 大1匹 1.5匹空调 定频变频空调 新一级能效急速冷暖空调 【变频大1.5匹冷暖】适用16-24m 不带安装,https://item.jd.com/10109697283273.html,https://img13.360buyimg.com/n7/jfs/t1/19347/30/22069/145497/6694e31bFba86be6d/be80bee4bb926c87.jpg.avif,0,坤坤空调经营部,https://mall.jd.com/index-14468853.html?from=pc
10103751372497,2499.0,华凌挂机空调一级能效35GW/N8HL1PRO 1.5匹 一级能效 KFR-35GW/N8HE1,https://item.jd.com/10103751372497.html,https://img12.360buyimg.com/n7/jfs/t1/172439/25/44077/145604/66448b43Ff00302f2/340b8a88852e99eb.jpg.avif,2,华凌京安凯泽专卖店,https://mall.jd.com/index-12339071.html?from=pc
10052551169330,4299.0,"
华凌空调柜机 新一级能效智能变频冷暖两用 大出风口 家用客厅圆柱式  以旧换新 51/72 N8HB1A 2匹 一级能效 KFR-51LW/N8HB1A",https://item.jd.com/10052551169330.html,https://img10.360buyimg.com/n7/jfs/t1/225818/40/19914/129626/668363deF864284d2/9ac85fe1ab897ed9.jpg.avif,1000+,京东电竞电器旗舰店,https://mall.jd.com/index-11616990.html?from=pc
