商品ID,商品名称,店铺,价格,商品图片,商品参数,商品评价数,主体,规格,功能
10048609620391,"
                                                                                深松空调大1匹冷暖定频空调挂机1.5p单冷壁挂式空调卧室除湿机省电节能快速制冷出租房省电 大1匹 套装 冷暖铜管上门安装                ",深松空调旗舰店,,https://img11.360buyimg.com/n5/jfs/t1/239524/24/10577/135509/668820c5Fb5de03c2/72d02ad9530caebf.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松空调大1匹冷暖定频空调挂机1.5p单冷壁挂式空调卧室除湿机省电节能快速制冷出租房省电 大1匹 套装 冷暖铜管上门安装
    商品编号：10048609620391
                      店铺： 深松空调旗舰店
                             货号：KF-GW
                                                  操控方式：键控/遥控
                                                能效等级：五级能效
                                                变频/定频：定频
                                                类型：壁挂式
                                                匹数：大1匹
                                                冷暖类型：冷暖
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  适用面积11-16㎡
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                                                      
                                  内机机身尺寸宽770mm；高262mm；深195mm
                            
                                          
      ","
        功能
        
                                              
                                  制冷功率650W
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
10048610356370,"
                                                                                深松空调挂机包安装大1.5匹单冷暖一匹变频空调1p2匹家用出租房定速单冷壁挂式舒适节能省电 大1.5匹 套装 冷暖全铜管无安装                ",深松空调旗舰店,,https://img10.360buyimg.com/n5/jfs/t1/248292/25/14208/87917/668820ccF7fab3a21/6abb158cb1ca540b.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松空调挂机包安装大1.5匹单冷暖一匹变频空调1p2匹家用出租房定速单冷壁挂式舒适节能省电 大1.5匹 套装 冷暖全铜管无安装
    商品编号：10048610356370
                      店铺： 深松空调旗舰店
                             货号：KF-GW
                                                  操控方式：键控/遥控
                                                能效等级：五级能效
                                                变频/定频：定频
                                                净化类型：VP-过滤网
                                                类型：壁挂式
                                                匹数：1匹
                                                冷暖类型：冷暖
                                                功能：可拆洗
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KFRd-GW
                            
                                                                      
                                  面板材质ABS塑料
                            
                                                                      
                                  上市时间2022-07
                            
                                                                      
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KFRd-GW
                            
                                                                      
                                  适用面积8-12㎡
                            
                                          
      ","
        规格
        
                                              
                                  内机机身尺寸宽770mm；高262mm；深795mm
                            
                                                                      
                                  制冷剂
                  
                    
                    
                      
                      
                        制冷剂又称制冷工质，是制冷循环的工作介质，利用制冷剂的相变来传递热量，既制冷剂在蒸发器中汽化时吸热，在冷凝器中凝结时放热。目前空调制冷剂有：R22、R410a、R32、R290等
                      
                    
                  
                  R22
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                          
      ","
        功能
        
                                              
                                  外机最大噪音59dB(A)
                            
                                                                      
                                  睡眠模式
                  
                    
                    
                      
                      
                        基础款睡眠模式可通过遥控器按键启动睡眠模式，调节风速及面板指示灯亮度等功能。 升级款睡眠模式可根据室内环境温度和光照亮度，自动开启睡眠模式，实现自动调节送风温度。为了更好的呵护睡眠，建议在卧室中选购具备睡眠功能的空调，带来舒适睡眠体验，同时更节能环保。
                      
                    
                  
                  按键调节
                            
                                                                      
                                  制冷功率1060W
                            
                                                                      
                                  内机最大噪音39dB(A)
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
10048609857543,"
                                                                                深松空调挂机包安装冷暖两用大1匹家用卧室壁挂式变定频1.5P节能省电自清洁客厅空调 2匹 套装 冷暖柜机不含安装                ",深松空调旗舰店,,https://img13.360buyimg.com/n5/jfs/t1/149151/32/42481/199368/66881cc7F7b3b5610/0f9e759dfee0c5a5.png.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松空调挂机包安装冷暖两用大1匹家用卧室壁挂式变定频1.5P节能省电自清洁客厅空调 2匹 套装 冷暖柜机不含安装
    商品编号：10048609857543
                      店铺： 深松空调旗舰店
                             货号：KF-GW
                                                  操控方式：键控/遥控
                                                能效等级：五级能效
                                                变频/定频：定频
                                                类型：壁挂式
                                                匹数：2匹
                                                冷暖类型：冷暖
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  适用面积22-29㎡
                            
                                                                      
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KF-GW
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                                                      
                                  内机机身尺寸宽770mm；高262mm；深195mm
                            
                                          
      ","
        功能
        
                                              
                                  制冷功率680W
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
10048538823380,"
                                                                                深松空调大1.5匹冷暖包安装变频空调挂机2匹定速单冷壁挂式办公租房舒适节能省电 2匹 一级能效 冷暖全铜管无安装                ",深松空调旗舰店,,https://img10.360buyimg.com/n5/jfs/t1/197525/39/40932/106967/668820c6F211bef13/e476edf48d11ab3f.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松空调大1.5匹冷暖包安装变频空调挂机2匹定速单冷壁挂式办公租房舒适节能省电 2匹 一级能效 冷暖全铜管无安装
    商品编号：10048538823380
                      店铺： 深松空调旗舰店
                             货号：3555523
                                                  操控方式：键控/遥控
                                                能效等级：一级能效
                                                变频/定频：变频
                                                类型：壁挂式
                                                匹数：2匹
                                                冷暖类型：冷暖
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  适用面积11-16㎡
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                                                      
                                  内机机身尺寸宽770mm；高262mm；深195mm
                            
                                          
      ","
        功能
        
                                              
                                  制冷功率680W
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
10048241235494,"
                                                                                深松空调家用2匹冷暖空调柜机办公室商铺商用3P节能省电空调大型冷暖柜机客厅快速冷暖 3匹柜机冷暖 不含安装                ",深松空调旗舰店,,https://img14.360buyimg.com/n5/jfs/t1/2975/40/20523/59896/668820c2F6bfe44b9/10e8011226b8b377.png.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松空调家用2匹冷暖空调柜机办公室商铺商用3P节能省电空调大型冷暖柜机客厅快速冷暖 3匹柜机冷暖 不含安装
    商品编号：10048241235494
                      店铺： 深松空调旗舰店
                             货号：KFRd-51LW/PAN5
                                                  操控方式：键控/遥控
                                                能效等级：五级能效
                                                变频/定频：定频
                                                净化类型：抗菌
                                                类型：立柜式
                                                匹数：2匹
                                                冷暖类型：冷暖
                                                功能：自清洁，独立除湿，可拆洗
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  上市时间2022-03
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KFRd
                            
                                                                      
                                  面板材质ABS塑料
                            
                                                                      
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KFRd
                            
                                                                      
                                  适用面积30-40㎡
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  制冷剂
                  
                    
                    
                      
                      
                        制冷剂又称制冷工质，是制冷循环的工作介质，利用制冷剂的相变来传递热量，既制冷剂在蒸发器中汽化时吸热，在冷凝器中凝结时放热。目前空调制冷剂有：R22、R410a、R32、R290等
                      
                    
                  
                  R22
                            
                                                                      
                                  内机机身尺寸宽1726mm；高500mm；深310mm
                            
                                                                      
                                  外机尺寸宽820mm；高598mm；深372mm
                            
                                          
      ","
        功能
        
                                              
                                  外机最大噪音50dB(A)
                            
                                                                      
                                  内机最大噪音35dB(A)
                            
                                                                      
                                  睡眠模式
                  
                    
                    
                      
                      
                        基础款睡眠模式可通过遥控器按键启动睡眠模式，调节风速及面板指示灯亮度等功能。 升级款睡眠模式可根据室内环境温度和光照亮度，自动开启睡眠模式，实现自动调节送风温度。为了更好的呵护睡眠，建议在卧室中选购具备睡眠功能的空调，带来舒适睡眠体验，同时更节能环保。
                      
                    
                  
                  按键调节
                            
                                                                      
                                  制冷功率5100W
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下/左右扫风
                            
                                          
      "
10048538823382,"
                                                                                深松空调大1.5匹冷暖包安装变频空调挂机2匹定速单冷壁挂式办公租房舒适节能省电 3匹 一级能效 冷暖全铜管无安装                ",深松空调旗舰店,,https://img12.360buyimg.com/n5/jfs/t1/235229/18/22930/106970/668820c0F1f522e48/651c975f446d8044.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松空调大1.5匹冷暖包安装变频空调挂机2匹定速单冷壁挂式办公租房舒适节能省电 3匹 一级能效 冷暖全铜管无安装
    商品编号：10048538823382
                      店铺： 深松空调旗舰店
                             货号：3555523
                                                  操控方式：键控/遥控
                                                能效等级：一级能效
                                                变频/定频：变频
                                                类型：壁挂式
                                                匹数：3匹
                                                冷暖类型：冷暖
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  适用面积11-16㎡
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                                                      
                                  内机机身尺寸宽770mm；高262mm；深195mm
                            
                                          
      ","
        功能
        
                                              
                                  制冷功率680W
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
10107642474646,"
                                                                                深松中央空调吸顶天花机大3匹冷暖一拖一商用5p办公室嵌入式家用空调吊顶天井机2匹新能效 大2匹 三级能效 变频冷暖220V                ",深松空调旗舰店,,https://img11.360buyimg.com/n5/jfs/t1/188497/25/42383/113562/667a62a8F988a2a3c/aae02bd704e3456a.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松中央空调吸顶天花机大3匹冷暖一拖一商用5p办公室嵌入式家用空调吊顶天井机2匹新能效 大2匹 三级能效 变频冷暖220V
    商品编号：10107642474646
                      店铺： 深松空调旗舰店
                                                                       操控方式：键控/遥控
                                                能效等级：三级能效
                                                变频/定频：变频
                                                类型：壁挂式
                                                匹数：2匹
                                                冷暖类型：冷暖
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KFRD-Q8W
                            
                                                                      
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KFRD-Q8W
                            
                                                                      
                                  适用面积22-29㎡
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  内机机身尺寸宽830mm；高230mm；深830mm
                            
                                                                      
                                  外机尺寸宽910mm；高340mm；深690mm
                            
                                          
      ","
        功能
        
                                              
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                                                      
                                  制冷功率2400W
                            
                                          
      "
10048610155343,"
                                                                                深松志惠高效空调包安装送货入户空调挂机大1.5匹单冷暖1p变频2匹定速家用单冷3P壁挂式舒适节能 大1匹 一级能效 冷暖-变频全铜管上门安装                ",深松空调旗舰店,,https://img13.360buyimg.com/n5/jfs/t1/248892/23/14195/90446/66881cc0Ffd431a4a/6f8d6902fe15e49c.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松志惠高效空调包安装送货入户空调挂机大1.5匹单冷暖1p变频2匹定速家用单冷3P壁挂式舒适节能 大1匹 一级能效 冷暖-变频全铜管上门安装
    商品编号：10048610155343
                      店铺： 深松空调旗舰店
                             货号：KF-GW
                                                  操控方式：键控/遥控
                                                能效等级：一级能效
                                                变频/定频：变频
                                                净化类型：抗菌，VP-过滤网
                                                类型：壁挂式
                                                冷暖类型：冷暖
                                                匹数：大1匹
                                                功能：自清洁，独立除湿，可拆洗
                                                      
                                                
                            更多参数>>
                        
                                            ",5000+,"
        主体
        
                                              
                                  面板材质ABS塑料
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KF-GW/
                            
                                                                      
                                  适用面积11-16㎡
                            
                                                                      
                                  上市时间2022-03
                            
                                                                      
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KF-GW/
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  制冷剂
                  
                    
                    
                      
                      
                        制冷剂又称制冷工质，是制冷循环的工作介质，利用制冷剂的相变来传递热量，既制冷剂在蒸发器中汽化时吸热，在冷凝器中凝结时放热。目前空调制冷剂有：R22、R410a、R32、R290等
                      
                    
                  
                  R22
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                                                      
                                  内机机身尺寸宽770mm；高262mm；深195mm
                            
                                          
      ","
        功能
        
                                              
                                  外机最大噪音50dB(A)
                            
                                                                      
                                  睡眠模式
                  
                    
                    
                      
                      
                        基础款睡眠模式可通过遥控器按键启动睡眠模式，调节风速及面板指示灯亮度等功能。 升级款睡眠模式可根据室内环境温度和光照亮度，自动开启睡眠模式，实现自动调节送风温度。为了更好的呵护睡眠，建议在卧室中选购具备睡眠功能的空调，带来舒适睡眠体验，同时更节能环保。
                      
                    
                  
                  按键调节
                            
                                                                      
                                  制冷功率1060W
                            
                                                                      
                                  内机最大噪音39dB(A)
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
10049001076816,"
                                                                                深松志惠高效空调包安装送货入户空调挂机大1.5匹单冷暖1p变频2匹定速家用单冷3P壁挂式舒适节能 大1.5匹 三级能效 冷暖-变频全铜管上门安装                ",深松空调旗舰店,,https://img11.360buyimg.com/n5/jfs/t1/232666/4/20614/90362/66881cc1F03f13e0d/5a1f9d30146cce1b.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松志惠高效空调包安装送货入户空调挂机大1.5匹单冷暖1p变频2匹定速家用单冷3P壁挂式舒适节能 大1.5匹 三级能效 冷暖-变频全铜管上门安装
    商品编号：10049001076816
                      店铺： 深松空调旗舰店
                             货号：KF-GW
                                                  操控方式：键控/遥控
                                                能效等级：三级能效
                                                变频/定频：变频
                                                净化类型：抗菌，VP-过滤网
                                                类型：壁挂式
                                                匹数：1.5匹
                                                冷暖类型：冷暖
                                                功能：自清洁，独立除湿，可拆洗
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  面板材质ABS塑料
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KF-GW/
                            
                                                                      
                                  适用面积11-16㎡
                            
                                                                      
                                  上市时间2022-03
                            
                                                                      
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KF-GW/
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  制冷剂
                  
                    
                    
                      
                      
                        制冷剂又称制冷工质，是制冷循环的工作介质，利用制冷剂的相变来传递热量，既制冷剂在蒸发器中汽化时吸热，在冷凝器中凝结时放热。目前空调制冷剂有：R22、R410a、R32、R290等
                      
                    
                  
                  R22
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                                                      
                                  内机机身尺寸宽770mm；高262mm；深195mm
                            
                                          
      ","
        功能
        
                                              
                                  外机最大噪音50dB(A)
                            
                                                                      
                                  睡眠模式
                  
                    
                    
                      
                      
                        基础款睡眠模式可通过遥控器按键启动睡眠模式，调节风速及面板指示灯亮度等功能。 升级款睡眠模式可根据室内环境温度和光照亮度，自动开启睡眠模式，实现自动调节送风温度。为了更好的呵护睡眠，建议在卧室中选购具备睡眠功能的空调，带来舒适睡眠体验，同时更节能环保。
                      
                    
                  
                  按键调节
                            
                                                                      
                                  制冷功率1060W
                            
                                                                      
                                  内机最大噪音39dB(A)
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
10048609620383,"
                                                                                深松空调大1匹冷暖定频空调挂机1.5p单冷壁挂式空调卧室除湿机省电节能快速制冷出租房省电 1匹 套装 冷暖铜管上门安装                ",深松空调旗舰店,,https://img13.360buyimg.com/n5/jfs/t1/224292/35/16628/135537/668820c3F63de3435/db62563cae36786c.jpg.avif,"
                                                                        
                            品牌： 深松
                                
                            
                        
                                                
                                商品名称：深松空调大1匹冷暖定频空调挂机1.5p单冷壁挂式空调卧室除湿机省电节能快速制冷出租房省电 1匹 套装 冷暖铜管上门安装
    商品编号：10048609620383
                      店铺： 深松空调旗舰店
                             货号：KF-GW
                                                  操控方式：键控/遥控
                                                能效等级：五级能效
                                                变频/定频：定频
                                                类型：壁挂式
                                                匹数：大1匹
                                                冷暖类型：冷暖
                                                      
                                                
                            更多参数>>
                        
                                            ",,"
        主体
        
                                              
                                  型号
                  
                    
                    
                      
                      
                        商品型号为商品出厂前的产品命名
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  认证型号
                  
                    
                    
                      
                      
                        认证型号:CCC证书上的产品型号信息。
                      
                    
                  
                  KF-GW
                            
                                                                      
                                  适用面积11-16㎡
                            
                                          
      ","
        规格
        
                                              
                                  电压/频率220V/50Hz
                            
                                                                      
                                  外机尺寸宽650mm；高236mm；深500mm
                            
                                                                      
                                  内机机身尺寸宽770mm；高262mm；深195mm
                            
                                          
      ","
        功能
        
                                              
                                  制冷功率650W
                            
                                                                      
                                  扫风方式
                  
                    
                    
                      
                      
                        空调扫风方式是指导风叶片的摆动方向。扫风方式越多，让空调出风覆盖范围越大。
                      
                    
                  
                  上下扫风
                            
                                          
      "
