"content","date","good_ID","good_name","commentTags","replyCount","score","userLevelId","userProvince","user_ID","user_name","score1","score2","score3","score4","score5"
一直在用长虹的空调好几年了感觉很好用制冷快很省电制热效果也很好外观简洁大方所以新家又买了两台安装过程出了一些问题但是好在都解决了长虹的售后服务真的很不错,2024-06-25 20:59:54,100091564307,【大1匹】新一级四阶舒适风,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,2,5,201,河南,20992802010,夏***_,500,100,200,500,100000
非常不错哦一下子安了三台刚安装好试用了十分钟效果不错主要是京东太让人省心了从买到安装一天的时间搞定都不带让人操心的安排的安装师傅也非常靠谱为客户考虑很让人放心以后家电还得京东,2024-06-26 16:15:17,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,山东,20996039430,水***5,500,100,200,500,100000
外形外观外观漂亮温度显示会自动关掉晚上不用担心灯冷暖效果制冷挺快送货时效下单第二天就送货和安装了安装师傅很快装好静音效果开机后没啥声音节能效果一级能效不错,2024-06-28 21:09:31,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,上海,21005029877,j***b,500,100,200,500,100000
京东买的空调还很方便第二天到货安装性价比很高空调试机了制冷效果很好外观好看立刻马上又下单了两台,2024-06-29 14:56:47,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,2,5,201,四川,21007491733,小***贝,500,100,200,500,100000
长虹是大品牌质量应该有保障外观好看物流很快安装服务也好额外安装费用正常没有乱收费制冷很快声音也不大整体不错值得推荐,2024-06-30 11:14:41,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,云南,21010531004,d***g,500,100,200,500,100000
用了几天才评制冷快开睡眠模式基本听不到噪音现晚上开56小时大概2度电左右可以接受是台性价比颇高的空调,2024-07-08 17:45:28,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,0,海南,21040982007,j***1,500,100,200,500,100000
之前买过一台用了11年了现在又买这个长虹的品牌还蛮不错的声音不大节能又省电下次还会购买你家品牌,2024-07-07 19:38:24,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,广东,21038006931,h***x,500,100,200,500,100000
空调外观好看制冷效果好声音也不吵价位也合适追求性价比下单第二天就送到第三天就可以安装效率特别高师傅准时专业客服态度也好整体服务感受不错,2024-06-24 13:32:52,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,湖北,20986355544,贝***车,500,100,200,500,100000
美观大方看起来高级的样子很好外形外观美的不得了冷暖效果好静音效果nice产品特色好节能效果棒极了,2024-06-18 20:18:15,100091564307,【大1.5匹】新一级重磅新品,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,203,河北,20957755952,j***x,500,100,200,500,100000
空调智能化很好制冷效果不错声音很小外观白色好看挂在家里面整体很好很不错准备再一台长虹这个品牌值得推荐,2024-06-17 23:46:03,100091564307,【大1匹】新一级爆品力荐,制冷给力|安装准时|外观漂亮|美观大方|全自动智能|工艺精美|声音很轻|超级省电|保修期长|节能环保|风大马力足|反应迅速|多快好省,1,5,201,四川,20952725724,一***师,500,100,200,500,100000
